name,dept_code,province_code,district_code
AEROPUERTO,7,147,209
ALFONSO UGARTE,15,1,237
ANCON,15,1,201
APOLO,15,1,236
BARBONCITOS,15,1,266
BARRANCO,15,1,204
BAYOVAR,15,1,262
BELLAVISTA,7,147,205
BREÑA,15,1,206
CAJA DE AGUA,15,1,262
CALLAO-CALLAO,7,147,209
CANTA,15,34,210
CANTO REY,15,1,262
CARABAYLLO,15,1,212
CARMEN DE LA LEGUA,7,147,213
CIENEGUILLA,15,1,222
CIUDAD Y CAMPO,15,1,1476
COLLIQUE,15,1,224
CONDE DE LAVEGA,15,1,237
CONDEVILLA,15,1,266
LIMA-MIRONES ALTO,15,1,393
DIROVE,11,95,1928
COTABAMBAS,15,1,237
CHACARILLA,15,1,273
CHACLACAYO,15,1,216
CHORRILLOS,15,1,220
CHOSICA,15,1,241
SAN ANDRES - TRUJILLO,13,2,178
ANANEA,21,150,1788
DULANTO,7,147,209
EL AGUSTINO,15,1,225
PROGRESO,15,1,224
HUAROCHIRI,15,91,1515
HUAYCAN,15,1,241
INDEPENDENCIA,15,1,231
JESUS MARIA,15,1,232
JOSE GALVEZ,15,1,281
UCHUMARCA,13,22,1405
CIUDAD DE DIOS,4,3,64
HUAYRONA,15,1,262
LA LEGUA,7,147,209
LA MOLINA,15,1,233
LA PASCANA,15,1,224
LA PERLA,7,147,234
LA PUNTA,7,147,235
LA VICTORIA,15,1,236
LADERAS DE VILLA,15,1,280
LINCE,15,1,238
MAGDALENA,15,1,243
MARANGA,15,1,268
M.PUMACAHUA,15,1,220
CALLAO-MI PERÚ,7,147,279
MIRAFLORES,15,1,245
LIMA-UNIDAD VECINAL DE MIRONES,15,1,237
MIRONES BAJO,15,1,237
MONSERRAT,15,1,237
MONTERRICO,15,1,273
VIPOL,7,147,209
YANACANCHA,12,4,1392
ORRANTIA,15,1,261
PALOMINO,15,1,237
PAMPLONA,15,1,263
PETIT THOUARS,15,1,237
PLAYA RIMAC,7,147,209
PRO,15,1,239
PUCUSANA,15,1,251
PUEBLO LIBRE,15,1,252
PUENTE PIEDRA,15,1,253
PUNTA HERMOSA,15,1,254
PUNTA NEGRA,15,1,255
RAMON CASTILLA,7,147,209
RICARDO PALMA,15,91,257
SALAMANCA,15,1,202
SAN ANDRES,15,1,393
SAN ANTONIO,15,1,276
SAN BARTOLO,15,1,259
SAN BORJA,15,1,260
SAN CAYETANO,15,1,225
SAN COSME,15,1,236
LIMA-SAN GENARO,15,1,220
SAN ISIDRO,15,1,261
SAN JUAN DE MIRAFLORES,15,1,263
SAN LUIS,15,1,264
SAN MARTIN,15,1,266
SAN MIGUEL,15,1,268
SAN PEDRO,15,1,225
SANTA ANITA,15,1,269
SANTA CLARA,15,1,202
SANTA ELIZABETH,15,1,262
SANTA EULALIA,15,91,270
SANTA FELICIA,15,1,233
SANTA ISABEL,15,1,212
SANTA LUZMILA,15,1,224
SANTA MARIA,15,1,271
SANTA ROSA,15,1,272
SANTOYO,15,1,225
SARITA COLONIA,7,147,209
SOL DE ORO,15,1,239
SURCO,15,1,273
SURQUILLO,15,1,276
TAHUANTINSUYO,15,1,231
TUPAC AMARU INCA,15,1,224
UNIDADES VECINALES,15,1,237
UNIVERSITARIA,15,1,224
PACHACAMAC,15,1,280
VENTANILLA,7,147,279
SANTA PATRICIA,15,1,233
VILLA EL SALVADOR,15,1,280
VILLA HERMOZA,15,1,225
VILLA MARIADEL TRIUNFO,15,1,281
VITARTE,15,1,202
YERBATEROS,15,1,264
ZARATE,15,1,262
LURIN,15,1,242
HUARMEY,2,90,550
NAZCA,11,126,1286
TAYACAJA  -  HUANCAVELICA,9,180,1179
CERRO AZUL,15,35,215
RIMAC,15,1,258
10 DE OCTUBRE,15,1,262
LA PLANICIE,15,1,233
HUACHIPA,15,1,241
LIMA-JICAMARCA,15,1,241
MANCHAY,15,1,233
MATUCANA,15,91,244
SAN MATEO,15,91,267
CAJAMARCA,6,26,73
CAÑETE,15,35,1491
CASMA,2,40,8
AMBO,10,6,104
SAN VICENTE DE CAÑETE,15,35,1491
CHANCAY,15,87,217
LA OROYA - JUNIN,12,191,129
YURA,4,3,64
BARRANCA,15,20,203
PICHANAQUI - CHANCHAMAYO - JUNIN,12,46,137
ABANCAY,3,111,32
ILO,18,96,292
SAMANCO - SANTA - ANCASH,2,166,2002
HUAYLLAY,19,139,1650
PUEBLO NUEVO,18,96,1648
CAMPO VERDE - CORONEL PORTILLO - UCAYALI,25,61,1902
TACNA,23,174,357
HUAMACHUCO,13,164,1943
YAUCA,4,37,734
CHINCHA ALTA,11,49,1276
VILLACURÍ - ICA,11,95,1270
MARCONA,11,126,111
CHALA - CARAVELI - AREQUIPA,4,37,2021
BELLA UNION - AREQUIPA,4,37,1982
HUAMACHUCO,13,164,1943
PIEDRA LIZA,15,1,258
PISCO,11,144,115
VEGUETA - HUAURA - LIMA,15,92,2004
JAUJA,12,99,126
NUEVO CHIMBOTE,2,196,604
IMPERIAL,15,35,230
PISCOBAMBA,2,118,563
PACHACAYO,12,99,1946
POLTRAN - ABANCAY,3,111,32
LARAQUERI - PICHACANI - PUNO,21,150,1725
SOTILLO-AREQUIPA,4,3,63
PUCARA - JAEN - CAJAMARCA,6,98,2090
PARACAS,11,144,1297
EL TABLAZO - TUMBES,24,183,362
CARMEN ALTO - AYACUCHO,5,197,785
HUANCAYO,12,4,123
INGENIO - NAZCA,11,126,1288
TACLLAN - HUARAZ,2,88,2018
SAN ANTONIO-CAÑETE,15,35,1495